sid,IEA0,IEA1
21748V,-0.24528456,1.0298892
16652B,0.40746284,0.29412732
17881V,2.1012983,-0.049143985
21128R,-0.55537856,-0.41062468
24271L,0.5753864,0.80802345
21710W,-1.0744817,0.21021764
17531U,-0.35742557,1.3949953
13682V,-0.024819879,0.17675686
16909M,-2.2165341,0.90808326
16559L,-1.1907561,-0.83203393
13323T,0.58535063,-0.3542736
20498T,-0.30700836,-1.0959854
11676Q,2.0248504,0.26511174
13428H,-0.03713032,-0.7770325
20968E,-0.067001924,0.39041686
20398P,-0.6729494,1.6347513
15257Q,0.06959216,1.0187703
10443O,-0.81472635,-0.21980366
14970F,0.254026,0.6112074
15339S,0.12848996,2.054976
19349P,-1.8337778,-0.64596325
17723D,-0.6056097,0.7931156
18236X,-0.51147544,-0.11155541
17063N,-2.325522,-1.111812
13208T,0.83689374,-1.0632024
25287F,0.5501277,1.3320493
23656A,0.5529502,-1.1357706
15755G,-2.1941886,1.1488302
22022G,0.31181186,1.087899
25379K,-1.4713755,-0.97187585
22545M,-0.12696114,0.111489594
17001R,0.9956049,-0.78486824
24304A,-0.38149294,-0.064904585
18801C,-2.129127,-0.5865688
22527K,0.984396,-0.77521515
13320N,1.0453131,-0.38519835
21263X,-1.113622,0.41636238
19289X,0.2322406,-1.9461915
20263S,-0.4253911,1.044678
12110X,-1.5052977,0.33653247
21809P,-0.9674622,0.40211725
21448J,-0.025786256,0.54543877
11875W,1.2255377,-0.32421038
13949J,-0.72697544,-0.10660721
24131V,0.13091992,0.11668124
23520B,-0.8521304,0.32748786
24952J,0.43114918,-1.2521164
21262V,0.49058518,0.16213043
12562G,-1.1693087,-1.080725
11052E,-1.8056151,-0.46001577
21684V,0.21602687,-0.40934992
14578F,0.13910374,-1.7013237
21066V,-1.1627216,-0.70688057
20532T,-0.21634445,1.0951055
15580X,0.18878825,0.1460619
11864R,-1.3008449,0.7851828
20020S,0.101794675,0.87591124
14501W,-0.15345909,-0.6091087
11757Q,-1.2812006,-0.9748136
15798Y,0.24539313,-1.1848098
25524T,0.7505141,0.11533872
11033A,0.69498765,-0.40321407
22691X,0.8997277,0.8620532
22888Q,-0.14129426,-0.5336854
13924T,0.16987804,1.8319981
17032C,-0.71664673,0.41329294
22534H,-0.44863257,-0.5660142
16420G,0.27090758,-0.15208837
23651Q,-1.0081815,-0.5788645
15511E,0.44176346,0.90788156
17060H,-0.5168171,0.3865466
14361G,-0.7791091,-0.13476428
19124R,-1.845145,-0.027801115
12074T,-0.7976718,-0.19467397
13885J,0.71942014,-1.6033554
20549K,-1.5709175,-1.4884647
14160W,-0.57440704,2.1675665
23044V,0.8161594,0.18557683
15460N,-0.4370957,0.2972565
22502U,0.5905058,0.9665345
14548W,0.2936548,-1.1101121
12765U,0.37951306,0.029006973
20552Z,0.34255925,0.7130065
11740Z,1.184097,2.1611507
12917R,-1.9494231,-0.8772457
13361B,-1.5485467,0.89925116
11649N,1.1398878,-1.0646303
24120Q,1.3953632,0.28997028
23217A,-0.73596907,0.028155115
16831B,0.77920645,2.3160567
22991J,-0.10390125,-0.97523844
20821A,-0.7435395,-0.39343172
11211Y,0.07287447,-1.3942792
25119K,0.38211635,-0.9088789
18704E,0.780588,-0.5481516
13206P,0.20198917,1.2664716
22420S,1.4861647,1.110863
15605N,0.44924107,0.9529458
13421T,-0.9690539,-1.5784175
23864H,0.08335647,-0.052391715
18823M,-0.17164901,0.18127117
20965Y,-1.3737633,1.3715899
18957H,0.34772936,-0.6938669
15628Z,-0.4620138,-0.67742664
17959G,0.608385,-0.5639144
10655D,-0.2547441,1.2901394
13371E,0.25875986,0.5134775
15488J,0.22915998,-0.56470495
21467N,1.4303228,-1.6288732
11308N,1.0142505,-1.3150728
13863Z,-0.78227234,1.1266013
13580N,-0.9657152,0.9636749
11705X,-0.29633257,-0.4112324
20826K,0.25825924,0.100768566
17008F,-1.1036456,0.043464977
23657C,0.7831676,0.48188108
13593W,-0.9323093,0.87822616
11715A,-0.040712833,1.6767794
11350M,-0.66515577,2.4258046
12300C,-0.44677514,-0.8459555
12832J,0.06840151,0.48709852
17337Y,0.4492271,0.07979074
16415N,0.55000937,0.1541162
21253U,-0.15557343,-1.8999621
20790P,0.35110202,-0.9376671
10126C,-0.2922279,-0.4956449
21961V,-0.7851547,0.2754372
17577S,1.008249,-1.109245
13648V,-0.36938882,0.019215668
11320D,-0.7786692,0.6996624
16437X,-0.14969626,-1.9747378
14710F,-0.98104036,-1.1083243
16290T,-1.3441021,1.635335
21825N,0.05948153,0.41136652
10887Y,-0.08368564,0.7692047
19303R,0.8464443,-0.9113579
10827G,0.048070565,-0.38588673
18857D,0.14933243,1.0279099
14417H,-1.6389065,-1.0810388
19658C,-0.43761125,1.032592
13544J,-0.17349216,0.18498175
19073A,-2.8434181,-0.6490978
23159M,0.13664371,0.42927223
10930Z,0.94771785,-1.7905918
24429U,-0.054249562,-1.123939
18075Z,0.9555507,0.3832017
20879F,-0.4841187,-1.1678183
14906W,-2.3282719,-0.08646768
15450K,1.514435,-0.55838436
16479N,-0.22700246,-1.7008514
18884G,0.1457822,0.52301043
12258D,1.7345364,-0.042239722
16097Z,-0.30710587,-1.4960604
17382D,0.44794363,0.19274154
12504S,-0.20243323,0.3871347
18819V,0.058858305,-0.5670314
16610L,-0.1244094,-1.4438471
25121X,-0.2444975,0.14298414
13529N,-1.5521259,0.4830002
20375D,-0.536815,-1.2800827
19437M,0.24681976,0.38940364
23582X,0.5156817,-0.9113598
17300B,-1.2679802,0.7944079
18685A,-0.688272,0.4512989
16699B,-0.035730354,-0.054115295
22496Z,-0.841498,-1.1027815
13541D,-0.8601831,1.0880197
